title,views,descr
Why I chose a gun,"
1,159,130
","
Peter van Uhm is the Netherlands' chief of defense, but that does not mean he is pro-war. In this talk, he explains how his career is one shaped by a love of peace, not a desire for bloodshed — and why we need armies if we want peace.
"
Treating cancer with electric fields,"
498,823
","
Surgery, chemotherapy and radiation are the best-known methods for treating cancer. At TEDMED, Bill Doyle presents a new approach, called Tumor Treating Fields, which uses electric fields to interrupt cancer cell division. Still in its infancy — and approved for only certain types of cancer — the treatment comes with one big benefit: quality of life.
"
The happy secret to better work,"
13,393,479
","
We believe we should work hard in order to be happy, but could we be thinking about things backwards? In this fast-moving and very funny talk, psychologist Shawn Achor argues that, actually, happiness inspires us to be more productive.
"
The universal anesthesia machine,"
300,121
","
What if you're in surgery and the power goes out? No lights, no oxygen — and your anesthesia stops flowing. It happens constantly in hospitals throughout the world, turning routine procedures into tragedies. Erica Frenkel demos one solution: the universal anesthesia machine.
"
Back to the future (of 1994),"
546,995
","
From deep in the TED archive, Danny Hillis outlines an intriguing theory of how and why technological change seems to be accelerating, by linking it to the very evolution of life itself.  The presentation techniques he uses may look dated, but the ideas are as relevant as ever.
"
The secret structure of great talks,"
916,420
","
From the ""I have a dream"" speech to Steve Jobs’ iPhone launch, many great talks have a common structure that helps their message resonate with listeners. In this talk, presentation expert Nancy Duarte shares practical lessons on how to make a powerful call-to-action.
"
Let's bridge the digital divide!,"
98,573
","
Five billion people can’t use the Internet. Aleph Molinari empowers digitally excluded people, by giving them access to computers and sharing the know-how to use them.
"
How your brain tells you where you are,"
1,002,719
","
How do you remember where you parked your car? How do you know if you're moving in the right direction? Neuroscientist Neil Burgess studies the neural mechanisms that map the space around us, and how they link to memory and imagination.
"
"Non-lethal weapons, a moral hazard?","
451,891
","
Pepper spray, tasers, tear gas, rubber bullets — these ""non-lethal"" weapons are being used by more and more local police forces, as well as military forces brought in to control civilian crowds and other situations. Despite their name, non-lethal weapons have been known to cause deaths ... and as Stephen Coleman suggests, there are other, more insidious hazards as well. He explores the complex ethics — and the unexpected consequences — of using non-lethal weapons to control civilians.
"
"Globalizing the local, localizing the global","
514,245
","
Sheikha Al Mayassa, a patron of artists, storytellers and filmmakers in Qatar, talks about how art and culture create a country's identity — and allow every country to share its unique identity with the wider world. As she says: ""We don't want to be all the same, but we do want to understand each other.""
"
Where are the baby dinosaurs?,"
788,122
","
In a spellbinding talk, paleontologist Jack Horner tells the story of how iconoclastic thinking revealed a shocking secret about some of our most beloved dinosaurs.
"
Impossible photography,"
3,278,296
","
Erik Johansson creates realistic photos of impossible scenes — capturing ideas, not moments. In this witty how-to, the Photoshop wizard describes the principles he uses to make these fantastical scenarios come to life, while keeping them visually plausible.
"
Deaf in the military,"
101,012
","
Keith Nolan always wanted to join the United States military. The challenge: He is Deaf, which is an automatic disqualification according to military rules. In this talk, he describes his fight to fight for his country. (In American Sign Language, with real-time translation.)
"
Everyday leadership,"
2,407,211
","
We have all changed someone’s life — usually without even realizing it. In this funny talk, Drew Dudley calls on all of us to celebrate leadership as the everyday act of improving each other’s lives.
"
The toxic baby,"
396,453
","
Filmmaker Penelope Jagessar Chaffer was curious about the chemicals she was exposed to while pregnant: Could they affect her unborn child? So she asked scientist Tyrone Hayes to brief her on one he studied closely: atrazine, a herbicide used on corn. (Hayes, an expert on amphibians, is a critic of atrazine, which displays a disturbing effect on frog development.) Onstage together at TEDWomen, Hayes and Chaffer tell their story.
"
What you don't know about marriage,"
3,791,871
","
In this funny, casual talk from TEDx, writer Jenna McCarthy shares surprising research on how marriages (especially happy marriages) really work. One tip: Do not try to win an Oscar for best actress.
"
"""Family Tree""","
197,667
","
Singer Inara George and guitarist Mike Andrews play the quietly lovely love song ""Family Tree."" 
"
Crowdsource your health,"
272,736
","
You can use your smartphone to find a local ATM, but what if you need a defibrillator? Lucien Engelen shows us online innovations that are changing the way we save lives, including a crowdsourced map of local defibrillators.
"
How do you save a shark you know nothing about?,"
432,062
","
They're the second largest fish in the world, they're almost extinct, and we know almost nothing about them. In this talk, Simon Berrow describes the fascinating basking shark (""Great Fish of the Sun"" in Irish), and the exceptional — and wonderfully low-tech — ways he's learning enough to save them.
"
